Gene,Slope,Pvalue,R2,N,Class
TRMU,0.035584117892618373,0.8216002618715317,0.0014725107888486268,37,NotSignificant
ARSA,-0.14512289627741565,0.46464028893450715,0.01537699242579411,37,NotSignificant
CCDC134,-0.012904308858263719,0.938980343506032,1.6982661521939668e-4,37,NotSignificant
PARVG,NA,NA,NA,17,Unknown
CYB5R3,0.00835809016837262,0.962463762593413,6.418939486454654e-5,37,NotSignificant
PPP6R2,-0.008118467867930412,0.969060628695283,4.359999461279362e-5,37,NotSignificant
SBF1,0.21048108249679032,0.3661251150615997,0.024083115449317925,36,NotSignificant
ALG12,-0.12095087562890251,0.6130922507570484,0.009253310554928772,30,NotSignificant
CRELD2,-0.015187225614858541,0.9311450322970249,2.1635099144932455e-4,37,NotSignificant
SYNGR1,NA,NA,NA,24,Unknown
ADSL,0.18288875473474764,0.3158191952366109,0.028739547276533144,37,NotSignificant
L3MBTL2,0.015141927201898475,0.9201780580783044,3.4029748153557046e-4,32,NotSignificant
GRAMD4,0.16018998339496066,0.2769026460770276,0.035716832654211786,35,NotSignificant
XRCC6,0.08183195862483712,0.6839957733774389,0.004789773145996168,37,NotSignificant
TYMP,-0.04632806946711271,0.7849971570680013,0.0021547416315356727,37,NotSignificant
PACSIN2,-0.09561028478060582,0.583593346648001,0.008670213730526679,37,NotSignificant
RPL3,-0.10952275945324208,0.6232308764475829,0.0069705274625670765,37,NotSignificant
TSPO,-0.02997777456594876,0.8826868132367933,6.697005905225437e-4,35,NotSignificant
MCAT,0.030080495925902534,0.8636070276710976,8.549025764605523e-4,37,NotSignificant
