SegmentID,Gene
seg4,RPL5P35
seg4,MGAT3-AS1
seg4,GAPDHP37
seg4,NDUFA6-DT
seg4,CYP2D8P
seg4,GOLGA2P4
seg4,LRRC37A14P
seg4,EP300-AS1
seg4,CSF2RBP1
seg4,TMEM184B-AS1
seg4,RNU12
seg4,TBC1D22A-DT
seg4,TBC1D22A-AS1
seg4,KLHDC7B-DT
seg4,KLHDC7B
seg4,CHKB-DT
seg4,ATP5MGL
seg4,SOX10
seg4,IL2RB
seg4,GRAP2
seg4,PNPLA3
seg4,TST
seg4,CYTH4
seg4,APOBEC3C
seg4,RAC2
seg4,NDUFA6
seg4,MLC1
seg4,C1QTNF6
seg4,MAPK11
seg4,APOL4
seg4,SULT4A1
seg4,MEI1
seg4,CHADL
seg4,LGALS1
seg4,MPPED1
seg4,TNFRSF13C
seg4,MIOX
seg4,CARD10
seg4,SLC16A8
seg4,NOL12
seg4,GALR3
seg4,CSF2RB
seg4,APOBEC3F
seg4,PVALB
seg4,TAFA5
seg4,CDC42EP1
seg4,CIMAP1B
seg4,PHF5A
seg4,SLC25A17
seg4,TOMM22
seg4,EP300
seg4,IFT27
seg4,MCM5
seg4,RASD2
seg4,RPS19BP1
seg4,MICALL1
seg4,RBX1
seg4,MGAT3
seg4,CENPM
seg4,SMC1B
seg4,PHF21B
seg4,SREBF2
seg4,ZC3H7B
seg4,GTSE1
seg4,POLR2F
seg4,SCO2
seg4,JOSD1
seg4,MPST
seg4,TOB2
seg4,SH3BP1
seg4,DESI1
seg4,ELFN2
seg4,PNPLA5
seg4,TXN2
seg4,TRABD
seg4,DENND6B
seg4,PPARA
seg4,ZBED4
seg4,WBP2NL
seg4,HMGXB4
seg4,SAMM50
seg4,KDELR3
seg4,BRD1
seg4,TAB1
seg4,KIAA0930
seg4,CBX7
seg4,SMIM45
seg4,GCAT
seg4,MB
seg4,NUP50
seg4,APOL2
seg4,FOXRED2
seg4,KCNJ4
seg4,LMF2
seg4,MAPK12
seg4,FBLN1
seg4,BAIAP2L2
seg4,TTLL1
seg4,CPT1B
seg4,HDAC10
seg4,TUBGCP6
seg4,KCTD17
seg4,TNRC6B
seg4,PLXNB2
seg4,APOL1
seg4,PMM1
seg4,CHKB
seg4,CSDC2
seg4,XPNPEP3
seg4,RRP7A
seg4,SMDT1
seg4,PICK1
seg4,CERK
seg4,FAM118A
seg4,APOBEC3D
seg4,CBX6
seg4,MAPK8IP2
seg4,TOM1
seg4,CBY1
seg4,RBFOX2
seg4,ACO2
seg4,POLR3H
seg4,TBC1D22A
seg4,SCUBE1
seg4,NCAPH2
seg4,ARHGAP8
seg4,APOL3
seg4,MYH9
seg4,PLA2G6
